체육시설명,도로명주소,지번주소,위도,경도
원촌2리 동네체육시설물,경상북도 영천시 청통면 오천길 20,경상북도 영천시 청통면 원촌리 289-1 원촌2리 경로당,35.98840843,128.8217402
은해사 집단시설지구 다목적마당,,경상북도 영천시 청통면 치일리 98-7,35.99224485,128.8009076
죽정쉼터 동네체육시설물,,경상북도 영천시 청통면 죽정리 484 죽정리 487,35.9744735,128.829723
호당1리 동네체육시설물,경상북도 영천시 청통면 호당1길 47 호당리 324-2,경상북도 영천시 청통면 호당리 324-2 호당리 324-2,35.99150482,128.8903998
금대 새터 쉼터,,경상북도 영천시 임고면 금대리 1029-1,36.04406841,129.0286144
돌빼기 쉼터,,경상북도 영천시 임고면 양평리 314,36.02445583,128.9869641
부래산 공원,,경상북도 영천시 임고면 우항리851,36.01600561,128.9854164
수성 구만 쉼터,,경상북도 영천시 임고면 수성리 1291-1,36.05839613,129.1018141
수성 중리 쉼터,,경상북도 영천시 임고면 수성리 919-5,36.05718971,129.1123972
임고면민복지회관,,경상북도 영천시 임고면 양항리 616-1,36.02049866,128.9738234
황강 쉼터,,경상북도 영천시 임고면 황강리 290,36.02570124,128.9933039
효2리 경로당,,경상북도 영천시 임고면 효리 235,36.03793676,129.0184254
계포리 동네체육시설물,경상북도 영천시 청통면 대재길 34 계포 대재 경로당,경상북도 영천시 청통면 계포리 150-1 계포 대재 경로당,35.9999697,128.8194423
용천리 동네체육시설물,경상북도 영천시 청통면 용호길 28 용천리 경로당,경상북도 영천시 청통면 용천리 391 용천리 경로당,36.02237474,128.8287501
남성리 동네체육시설물,경상북도 영천시 금호읍 남성길 83-21,경상북도 영천시 금호읍 남성리 557,35.90190191,128.8752249
도천2리 체육시설,경상북도 영천시 북안면 연당길 77-2 도천리 116-5,경상북도 영천시 북안면 도천리 116-1 도천리 116-5,35.89807423,129.0229091
삼창2리 면사무소 옆 공원,경상북도 영천시 화남면 신화로 1205,경상북도 영천시 화남면 삼창리 1027-4,36.05966228,128.8900471
화산1리 경로당앞,경상북도 영천시 화산면 화촌길 65,경상북도 영천시 화산면 화산리 1092 경로당 앞,36.05728343,128.8553673
효정1리 경로당앞,경상북도 영천시 화산면 옛서당길 74,경상북도 영천시 화산면 효정리 494-4 효정1리경로당 효정1리 경로당 앞,36.05001316,128.8332133
삼매2리 마을공터,,경상북도 영천시 임고면 삼매리 1027-1,36.07229242,128.9763163
금대찜터경로당,경상북도 영천시 임고면 금대2길 5,경상북도 영천시 임고면 금대리 126-3,36.0495225,129.0440678
냉천리동네체육시설,경상북도 영천시 금호읍 냉천리 258,경상북도 영천시 금호읍 냉천리 258,35.93328738,128.8859553
매호2리 경로당,경상북도 영천시 임고면 맘실길 72,경상북도 영천시 임고면 매호리 117-5 매호2리 경로당,36.00846616,128.9672081
사2리 경로당,경상북도 영천시 임고면 운주로 1186,경상북도 영천시 임고면 사리 415 사2리회관,36.04557824,129.0812709
삼호리동네체육시설,경상북도 영천시 금호읍 강정길 48,경상북도 영천시 금호읍 삼호리 930-9,35.90774861,128.8755995
덕암리 동네체육시설,경상북도 영천시 고경면 심청길 20,경상북도 영천시 고경면 덕암리 230,35.98745866,129.0918653
삼귀리 동네체육시설,경상북도 영천시 고경면 차당실2길 20,경상북도 영천시 고경면 삼귀리 51 삼귀리경로당,35.96486931,129.0672412
청정1리 동네체육시설,경상북도 영천시 고경면 청정리 762,경상북도 영천시 고경면 청정리 762,35.99141529,129.1046403
강회리 마음경로당,경상북도 영천시 대창면 강회3길 70,경상북도 영천시 대창면 강회리 432-1,35.89648277,128.8829191
구지리 마을회관 건강관리실,경상북도 영천시 대창면 용대로 804-1,경상북도 영천시 대창면 구지리 561-5 구지리마을회관,35.85494068,128.8903735
구지리 쉼터 야외운동시설,경상북도 영천시 대창면 구지리 444,경상북도 영천시 대창면 구지리 444,35.85753425,128.8906683
대재리 강변공원 야외운동시설,경상북도 영천시 대창면 대재리 862-40,경상북도 영천시 대창면 대재리 862-40,35.87303061,128.8999336
대창면민복지회관 주민체력단련실,경상북도 영천시 대창면 대창시장길 19-3,경상북도 영천시 대창면 대창리 1076-11,35.87434267,128.8968366
병암리 야외운동시설,경상북도 영천시 대창면 병암길 124-3,경상북도 영천시 대창면 병암리 260,35.88963696,128.9017499
어방리 야외운동시설,경상북도 영천시 대창면 효원길 9-3,경상북도 영천시 대창면 어방리 274 어방리경로당,35.86187807,128.9391802
오길 쉼터,,경상북도 영천시 대창면 오길리 882-1,35.8630517,128.9273466
오길2리 야외운동시설,,경상북도 영천시 대창면 오길리 154,35.87562743,128.9397525
용호리 동네체육시설,,경상북도 영천시 대창면 용호리 746,35.85000942,128.9320545
용호리 야외운동시설,,경상북도 영천시 대창면 용호리 555-4,35.84845104,128.9388777
오길숲 야외 운동시설,경상북도 영천시 대창면 오길리 861,경상북도 영천시 대창면 오길리 861,35.86377715,128.9279419
고수부지(금호교회 뒤편) 동네체육시설,경상북도 영천시 금호읍 금호로 102-64,경상북도 영천시 금호읍 냉천리 687-2 냉천강변공중화장실,35.93183131,128.8780597
관정2리 동네체육시설,경상북도 영천시 금호읍 관황길 4,경상북도 영천시 금호읍 관정리 261-1,35.92886137,128.9077255
교대리 동네체육시설(금호읍행정복지센터),경상북도 영천시 금호읍 금호로 153,경상북도 영천시 금호읍 교대리 149-2 금호읍사무소,35.93333951,128.8776442
대곡1리 동네체육시설,경상북도 영천시 금호읍 대곡길 57-4,경상북도 영천시 금호읍 대곡리 159-1,35.89060095,128.9219529
대곡2리 동네체육시설,경상북도 영천시 금호읍 대배길 50,경상북도 영천시 금호읍 대곡리 403-1 대곡2리회관,35.89576081,128.9237187
삼호2리 동네체육시설,경상북도 영천시 금호읍 가라골길 25-1,경상북도 영천시 금호읍 삼호리 295-1 삼호리 294(실제위치),35.91995653,128.8725321
신대리 동네체육시설,경상북도 영천시 금호읍 신대길 28,경상북도 영천시 금호읍 신대리 64-1,35.91036095,128.8683605
안천2리 경로당(공터),경상북도 영천시 화남면 능계2길 14 안천2리경로당(공터),경상북도 영천시 화남면 안천리 863-1 안천2리경로당,36.08268065,128.8949036
어은리 동네체육시설,경상북도 영천시 금호읍 어은길 131-5,경상북도 영천시 금호읍 냉천리 13-30 어은리 420(실제주소),35.91988932,128.8975065
원기리 동네체육시설(최무선과학관),경상북도 영천시 금호읍 창산길 100-29,경상북도 영천시 금호읍 원기리 277 최무선과학관,35.90773588,128.881028
주남공원,,경상북도 영천시 금노동 604-17,35.95944667,128.9317997
황정리 동네체육시설,경상북도 영천시 금호읍 관황길 49-4,경상북도 영천시 금호읍 황정리 412-2 황정리 410-1(실제위치),35.92776285,128.9123339
석동경로당,경상북도 영천시 석동1길 14 (녹전동),경상북도 영천시 녹전동 385 석동경로당,36.00350084,128.9155141
관정리 동네체육시설,경상북도 영천시 금호읍 관황길 4,경상북도 영천시 금호읍 관정리 261-1,35.92886137,128.9077255
원제리 동네체육시설,경상북도 영천시 금호읍 원제1길 27,경상북도 영천시 금호읍 원제리 432 원제리경로당,35.94229511,128.8963525
당지1리,경상북도 영천시 화산면 섭재골길 24,경상북도 영천시 화산면 당지리 109 당지1리마을회관 당지리 336-4,36.05717765,128.8397601
당지2리,경상북도 영천시 화산면 산성길 5-10,경상북도 영천시 화산면 당지리 497-2 당지2리 경로당,36.07216319,128.8375771
대기리,경상북도 영천시 화산면 대암길 128,경상북도 영천시 화산면 대기리 405,36.01043737,128.8956936
대안3리,경상북도 영천시 화산면 신정길 12,경상북도 영천시 화산면 대안리 1206-7 대안3리노인정,36.03076989,128.8083662
덕암1리,경상북도 영천시 화산면 덕암길 12-5,경상북도 영천시 화산면 덕암리 548-84 덕암경로당,36.02541078,128.8289373
백학산 및 가상리,경상북도 영천시 화산면 가래실로 390,경상북도 영천시 화산면 가상리 680 마을회관 옆 공원,36.03371192,128.8879681
삼부리,경상북도 영천시 화산면 가래실로 46-27 삼부리 114,경상북도 영천시 화산면 삼부리 79-2 (삼부못 아래 도로변 공터),36.00705942,128.8857496
