사업장명,도로명소재지,대표업종,종
이에프특장차(주),경상북도 영천시 대창면 한제길 67-59,차체 및 특장차 제조업,5종
(주)골드랜드,경상북도 영천시 상신기길 61-9 (신기동),가공 및 재생 플라스틱원료 생산업,5종
웰리온소금,경상북도 영천시 신녕면 장수로 1446-9,식초 및 합성조미료 제조업,5종
주식회사 천우산업,경상북도 영천시 금호읍 오계공단길 27,자동차부품 제조업,5종
(주)재원산업 영천공장,경상북도 영천시 북안면 운북로 1703 (외 14필지),구조용 금속제품 제조업,4종
명성산업,경상북도 영천시 북안면 개미곡길 36,비금속광물 분쇄물 생산업,4종
유니코브(주),경상북도 영천시 대창면 강회3길 50-10,콘크리트관 및 기타 구조용 콘크리트제품 제조업,5종
(주)삼안레미콘,경상북도 영천시 신녕면 신화로 93, ,4종
(주)용천,경상북도 영천시 임고면 매호운천길 169, ,5종
(주)형제케미칼,경상북도 영천시 도남공단1길 33 (도남동),지정 폐기물 처리업,4종
에스제이테크(주),경상북도 영천시 고경면 호국로 1303,그외 기타 제품 제조업,5종
주식회사 대영환경,경상북도 영천시 화남면 한천길 131-31,지정외 폐기물 처리업,4종
(주)영흥산업,경상북도 영천시 주남3길 100-42 (금노동),콘크리트 관 및 조립구조재 제조업,4종
(주)극동,경상북도 영천시 도남공단3길 28-28 (도남동),자동차 부품 제조업,3종
나이스케미칼,경상북도 영천시 도남공단1길 1 (도남동),치약  비누 및 기타 세제 제조업,5종
(주)동은,경상북도 영천시 금호읍 금창로 208-86,플라스틱 필름  시트 및 판 제조업,5종
다모아,경상북도 영천시 북안면 북안공단길 25-14 (454),재생용 비금속가공원료 생산업,5종
(주)그린이앤씨,경상북도 영천시 도남공단1길 8 (도남동),화합물 및 화학제품 제조업,4종
토탈맨홀,경상북도 영천시 화산면 덕암길 28,강주물 주조업,5종
(주)우성케미칼제2공장,경상북도 영천시 대창면 금박로 1020-36,가공 및 재생 플라스틱원료 생산업,4종
한양실업,경상북도 영천시 화산면 화산공단길 26,가공 및 재생 플라스틱원료 생산업,5종
(주)대아에스엔에스,경상북도 영천시 신녕면 완전공단길 24,가공 및 재생 플라스틱원료 생산업,5종
(주)동산에스엔알(영천공장),경상북도 영천시 금호읍 오계공단길 6-1,지정 폐기물 처리업,4종
(주)화신 기술연구소,경상북도 영천시 언하공단1길 7 (언하동),기타 조립금속제품 제조업,5종
(주)하나그린폴,경상북도 영천시 화남면 신화로 1088-21 (529-2),그외 기타 플라스틱제품 제조업,5종
선진에코산업,경상북도 영천시 고경면 거곡로 227-25,가공 및 재생 플라스틱원료 생산업,5종
(주)대한이피씨 제2공장,경상북도 영천시 북안면 운북로 1772,주철관 제조업,5종
(주)대한송유관공사 영천저유소,경상북도 영천시 대창면 금박로 812-26,파이프라인 운송업,5종
제일산업,경상북도 영천시 청통면 신원길 136-28,지정 외 폐기물 처리업,5종
(주)더방신소재,경상북도 영천시 고경면 고도길 62,폐기물 처리업,5종
현대상사,경상북도 영천시 금호읍 금창로 281-17,기타 자동차부품 제조업,5종
