연번,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원(명),운영일,시작시간,종료시간,선풍기,에어컨
237,"금노5,6경로당",경상북도 영천시 담안4길 42-10 ,경상북도 영천시 금노동 540-9,67.64,25,"월,화,수,목,금,토,일",09:00,18:00,1,1
238,금노4경로당,경상북도 영천시 담안1길 29,경상북도 영천시 금노동 556-7,159,50,"월,화,수,목,금,토,일",09:00,18:00,2,1
239,금노8경로당,경상북도 영천시 천문로 208-13 ,경상북도 영천시 금노동 372-51,74.9,30,"월,화,수,목,금,토,일",09:00,18:00,5,1
240,범어경로당,경상북도 영천시 범어2길 187,경상북도 영천시 범어동 445-1,98.96,40,"월,화,수,목,금,토,일",09:00,18:00,1,1
241,범어진옥경로당,경상북도 영천시 범어2길 3-3 ,경상북도 영천시 범어동 765-1,84.81,30,"월,화,수,목,금,토,일",09:00,18:00,3,1
242,작산경로당,경상북도 영천시 한방로 227-139 ,경상북도 영천시 작산동 197-3,97.85,35,"월,화,수,목,금,토,일",09:00,18:00,4,1
243,봉동경로당,경상북도 영천시 봉동2길 23-60 ,경상북도 영천시 봉동 673-11,77.1,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
244,도남경로당,경상북도 영천시 칠백로 843,경상북도 영천시 도남동 559,90.64,35,"월,화,수,목,금,토,일",09:00,18:00,2,1
245,도남윗마을경로당,경상북도 영천시 도남길 40,경상북도 영천시 도남동 66,76.02,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
246,본촌경로당,경상북도 영천시 예실큰길 4-15 ,경상북도 영천시 본촌동 639,23.6,30,"월,화,수,목,금,토,일",09:00,18:00,2,1
247,채신경로당,경상북도 영천시 영천산단로 485,경상북도 영천시 채신동 503,99.81,80,"월,화,수,목,금,토,일",09:00,18:00,2,1
248,괴연경로당,경상북도 영천시 신성일로 474,경상북도 영천시 괴연동 320-1,40.5,70,"월,화,수,목,금,토,일",09:00,18:00,2,1
249,작산11통경로당,경상북도 영천시 한방로 223-4 ,경상북도 영천시 작산동 154-1,39.12,25,"월,화,수,목,금,토,일",09:00,18:00,2,1

