연번,업종명,업소명,소재지주소,위도,경도,우편번호
86,집단급식소,(주)피엔디티,경상북도 영천시 영천산단로 92 (채신동),35.9083083,128.9489247,38899
87,집단급식소,(주)금창,"경상북도 영천시 채신1공단길 28, 2층 (채신동)",35.91609019,128.9518653,38899
88,집단급식소,에스엠화진 주식회사 (1공장),경상북도 영천시 도남공단3길 26 (도남동),35.92678464,128.9374883,38898
89,집단급식소,에스엠화진 주식회사 (3공장),경상북도 영천시 도남공단길 16 (도남동),35.92994771,128.9363953,38898
90,집단급식소,다이셀세이프티시스템즈코리아 주식회사,경상북도 영천시 금호읍 영천산단로 285,35.92109619,128.9468284,38899
91,집단급식소,농업회사법인 (주)모아,경상북도 영천시 도동구역길 113 (도동),35.93860018,128.928274,38896
92,집단급식소,주식회사 세운티.엔.에스 집단급식소,경상북도 영천시 언하공단4길 42 (망정동),35.98295815,128.9595885,38829
93,집단급식소,별빛 중학교,경상북도 영천시 고경면 월천길 1-27,36.00233104,129.0431561,38901
94,집단급식소,(주)알텍,경상북도 영천시 금호읍 영천산단로 111,35.90652077,128.94702,38899
95,집단급식소,(주)신영스틸 급식소,경상북도 영천시 청통면 금송로 847-66,35.98344558,128.8159887,38869
96,집단급식소,경상북도 보건환경연구원,경상북도 영천시 금호읍 고수골길 22,35.95359885,128.9057365,38874
97,집단급식소,영천요양병원,경상북도 영천시 천문로 596-8 (오미동),35.98760229,128.9248895,38823
98,집단급식소,영천별빛직장어린이집,경상북도 영천시 시청로 23 (문외동),35.97278578,128.937567,38852
99,집단급식소,한중 제2공장 급식소,경상북도 영천시 채신1공단길 53 (채신동),35.91376015,128.9524578,38899
100,집단급식소,(주)디케이에스글로벌,경상북도 영천시 신녕면 완전공단길 18,36.03766789,128.7944325,38803
101,집단급식소,경북식품과학마이스터고등학교,"경상북도 영천시 신녕면 찰방길 8, 경북식품과학마이스터고등학교",36.04302311,128.7804922,38804
102,집단급식소,에스엠화진 주식회사 (7공장),경상북도 영천시 금호읍 영천산단로 155,35.9102983,128.9445945,38899
103,집단급식소,주)고은힐즈,경상북도 영천시 시장로 121 (완산동),35.96398707,128.9435826,38894
104,집단급식소,영천시트 주식회사,경상북도 영천시 금호읍 금창로 208-8,35.9167768,128.8833554,38882
105,집단급식소,(주)세원물산 채신공장,경상북도 영천시 금호읍 영천산단로 340,35.91573261,128.9469416,38899
106,집단급식소,영천배기 주식회사,경상북도 영천시 임고면 신선로 549,36.04807956,128.9680261,38816
107,집단급식소,주식회사 청아냉동식품,경상북도 영천시 도남공단길 94-11 (봉동),35.93081101,128.9458251,38898
108,집단급식소,포은어린이집,"경상북도 영천시 망정1길 171, 106동 1층 (야사동, 한신THE휴영천퍼스트)",35.98272458,128.9504483,38831
109,집단급식소,코아루어린이집,"경상북도 영천시 창신1길 42 (망정동, 인터불고코아루아파트)",35.99082612,128.9551037,38825
110,집단급식소,유진정밀(주),"경상북도 영천시 칠백로 754, 유진정밀(주) (도남동)",35.9274104,128.9335285,38898
111,집단급식소,의료법인 자혜의료재단 영천제이병원,"경상북도 영천시 호국로 145, 영천제이병원 (망정동)",35.97692668,128.953051,38831
112,집단급식소,영천시종합사회복지관,"경상북도 영천시 충효로 147 (야사동, 주공아파트)",35.97682603,128.9441348,38832
113,집단급식소,시립 문외 센트럴 어린이집,"경상북도 영천시 충효로 39 (문외동, 엘에이치영천센트럴타운)",35.97144363,128.93285,38850
114,집단급식소,한국폴리텍대학 로봇캠퍼스,경상북도 영천시 로봇캠퍼스로 1 (화룡동),35.98800738,128.941152,38839
115,집단급식소,(주)혜성,경상북도 영천시 언하공단4길 29 (망정동),35.98395074,128.9605654,38829
116,집단급식소,"영천지역자활센터,희망도시락 사업단",경상북도 영천시 중앙동2길 86 (문내동),35.9742246,128.9322064,38838
117,위탁급식영업,성덕대학학생식당,경상북도 영천시 신녕면 대학길 105 (외 4번지),36.06420908,128.7614088,38801
118,위탁급식영업,세현푸드,경상북도 영천시 금호읍 금호로 320,35.93859749,128.8954573,38874
119,위탁급식영업,(주)아워홈 화신영천2점,경상북도 영천시 도남공단길 94-2 (봉동),35.92773106,128.9443699,38898
120,위탁급식영업,(주)아워홈화신영천1점,"경상북도 영천시 언하공단1길 14 (언하동,(주3) C동 지하1층)",35.99057718,128.9603131,38828
121,위탁급식영업,(주)신세계푸드영천점,"경상북도 영천시 최무선로 83 (오수동,외 6필지)",35.95843357,128.9099932,38840
122,위탁급식영업,(주)신세계푸드세원물산,경상북도 영천시 도남공단길 53 (도남동),35.93067455,128.9425543,38898
123,위탁급식영업,(주)아워홈화신정공영천점,경상북도 영천시 도남공단3길 96 (도남동),35.93157728,128.9412242,38898
124,위탁급식영업,영천푸드,"경상북도 영천시 천문로 622-13 (오미동,외 2필지)",35.99091967,128.9259708,38823
125,위탁급식영업,(주)아워홈진양특수강점,경상북도 영천시 담뜰길 124-9 (채신동),35.90975274,128.9543042,38899
126,위탁급식영업,(주)씨엔씨푸드(주)디엠씨영천공장점,경상북도 영천시 언하공단1길 23 (언하동),35.98958658,128.9602123,38828
127,위탁급식영업,한중,경상북도 영천시 영천산단로 379 (채신동),35.91357092,128.9490431,38899
128,위탁급식영업,(주)푸드윈 세왕금속공업,경상북도 영천시 망정1길 209 (망정동),35.98325614,128.951608,38831
129,위탁급식영업,우건건설식당,경상북도 영천시 북안면 운북로 1703,35.89008608,129.0115418,38909
130,위탁급식영업,천지케이터링,경상북도 영천시 금호읍 금창로 165,35.91975881,128.8847515,38882
131,위탁급식영업,담소푸드DSSK점,경상북도 영천시 임고면 매호운천길 80,36.00230376,128.9658017,38817
132,위탁급식영업,한국전력공사 영천지사 구내식당,경상북도 영천시 천문로 199 (금노동),35.95655202,128.9308344,38896
133,위탁급식영업,씨제이프레시웨이(주),경상북도 영천시 영천산단로 92 (채신동),35.9083083,128.9489247,38899
134,위탁급식영업,씨제이프레시웨이(주)금창점,경상북도 영천시 채신1공단길 28 (채신동),35.91609019,128.9518653,38899
135,위탁급식영업,씨제이프레시웨이(주)청아냉동점,경상북도 영천시 도남공단길 94-11 (봉동),35.93081101,128.9458251,38898
136,위탁급식영업,담소푸드DSSK점,경상북도 영천시 금호읍 영천산단로 285,35.92109619,128.9468284,38899
137,위탁급식영업,주식회사 씨앤푸드,경상북도 영천시 도동구역길 113 (도동),35.93860018,128.928274,38896
138,위탁급식영업,에스푸드 위탁급식소,경상북도 영천시 언하공단4길 42 (망정동),35.98295815,128.9595885,38829
139,위탁급식영업,(주)아워홈 알텍영천점,경상북도 영천시 금호읍 영천산단로 111,35.90652077,128.94702,38899
140,위탁급식영업,맘쿡,경상북도 영천시 청통면 금송로 847-66,35.98344558,128.8159887,38869
141,위탁급식영업,오션힐스 영천점 직원식당,경상북도 영천시 임고면 방목길 34-2,36.04805534,129.0123631,38819
142,위탁급식영업,신녕영업소 구내식당,경상북도 영천시 화산면 신정길 60-40,36.03918792,128.8110269,38802
143,위탁급식영업,푸디스트(주)영천영남대학교병원점,"경상북도 영천시 오수1길 10 (오수동, 지하1층)",35.95708746,128.9127824,38840
144,위탁급식영업,한중 제2공장 급식소,경상북도 영천시 채신1공단길 53 (채신동),35.91376015,128.9524578,38899
145,위탁급식영업,(주)홈밀푸드 DKS글로벌 구내식당,경상북도 영천시 신녕면 완전공단길 18,36.03766789,128.7944325,38803
146,위탁급식영업,(주)에스.씨.에스,경상북도 영천시 본촌공단길 39 (주)신영 (본촌동),35.91971875,128.9511886,38899
