연번,시도,시군구,읍면동,리,지번,기타지번,위도 도,위도 분,위도 초,경도 도,경도 분,경도 초,취약지역유형,소유별,취약지역 지정사유 및 목적,지정일
51,경상북도,영천시,신녕면,매양리,산92임,,36,1,49.999,128,46,1,토석류,사유림,계류 내 유송잡물 및 퇴적물이 적치되어 있어 배수상태가 불량한 계류로 취약지역으로 선정하여 관리함이 적절할 것으로 사료됨.,2017-06-29
52,경상북도,영천시,신녕면,부산리,산122구,,36,3,15.199,128,44,35.4,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 인가밀집지가 존재하나 그에 따른 사방시설물이 없어 강우시 발생가능성이 높은 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 클 것으로 예상됨.,2014-09-06
53,경상북도,영천시,화남면,용계리,산14임,,36,8,18.999,128,53,29,토석류,사유림,유수에 의해 토사가 유출됨에 따라 불안정한 계류를 정비하고 계류환경을 개선 할 필요가 있음.,2017-06-29
54,경상북도,영천시,화산면,당지리,산47-1임,742임,36,5,34.386,128,50,19.305,토석류,사유림,"인가와 농경지 인근에 위치한 계류로 강우시 붕괴지확장, 토사 및 암석의 유출 등이 예상되어 계류보전을 시공함으로서 피해를 예방하는 것이 적절할 것으로 사료됨",2016-06-29
55,경상북도,영천시,자양면,충효리,산144구 산145도,산145도 200임,36,7,5.399,129,3,33.5,토석류,사유림,본 계류는 황폐화가 진행되고 있는 유역으로 계류 내 퇴적물인 전석과 자갈이 퇴적되어 있고 부분적으로 세굴과 침식이 관측된다. 강우 시 유량이 상당히 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임,2014-09-06
56,경상북도,영천시,신녕면,화서리,산192임,,36,4,30.499,128,43,54.6,토석류,사유림,계류가 전반적으로 암반으로 이루어져 있으며 대체적으로 심하게 풍화되어 떨어져 나온 퇴적물이 계류 안쪽에 있음,2015-07-20
57,경상북도,영천시,화남면,용계리,산24임,,36,8,18.998,128,53,3.041,토석류,사유림,주민이 불안과 불편을 호소하는 지역으로 강우 시 퇴적물유동이 활발하고 월류 및 계안침식작용이 관찰되어 기슭막이 및 바닥막이와 같은 계류보전시설을 설치해 피해를 예방하는 것이 적절한 것으로 판단됨,2016-06-29
58,경상북도,영천시,대창면,용호리,974구,,35,50,32.099,128,56,33,토석류,사유림,상부에서 유출구까지 붕적층대에서 침식이 진행되고 있으며 장기적으로 계류의 골이 깊어져 계류벽 토층의 지지력이 저하되어 결국 붕괴될것으로 판단되므로 취약지역으로 선정함.,2014-09-06
59,경상북도,영천시,화북면,법화리,567구,산89구,36,9,44.799,128,57,3.7,토석류,사유림,대상조사지의 사면 일부 식생이 계류방향으로 전도되어 있어 잠재적인 위험성을 가지고 있음에 따라 재산 및 인명피해가 우려되는 지역이며 계류 내 전석 및 자갈의 분포는 상대적으로 낮지만 계류 내 유수로 인한 지속적인 침식 및 세굴이 반복적으로 이루어 질 것으로 예상되어 취약지역으로 선정함,2014-09-06
60,경상북도,영천시,자양면,도일리,산100 산103-1,107-3전,36,5,49.799,129,5,21.6,토석류,사유림,본 조사지역은 황폐화가 진행 중인 유역으로 유출구하부로 다수의 인가가 존재하나 그에 따른 예방사방시설물이 없어 강우 시 발생할 수 있는 산사태 및 토석류에 무방비로 노출되어 발생 시 인명 및 재산피해가 있을 것으로 예상됨.,2014-09-06
