법정동코드,법정동명
4723039037,경상북도 영천시 북안면 신촌리
4723039038,경상북도 영천시 북안면 관리
4723039039,경상북도 영천시 북안면 원당리
4723039040,경상북도 영천시 북안면 내포리
4723039041,경상북도 영천시 북안면 반정리
4723039042,경상북도 영천시 북안면 송포리
4723039043,경상북도 영천시 북안면 유하리
4723039044,경상북도 영천시 북안면 유상리
4723040000,경상북도 영천시 대창면
4723040021,경상북도 영천시 대창면 직천리
4723040022,경상북도 영천시 대창면 운천리
4723040023,경상북도 영천시 대창면 용전리
4723040024,경상북도 영천시 대창면 어방리
4723040025,경상북도 영천시 대창면 오길리
4723040026,경상북도 영천시 대창면 용호리
4723040027,경상북도 영천시 대창면 신광리
4723040028,경상북도 영천시 대창면 조곡리
4723040029,경상북도 영천시 대창면 대재리
4723040030,경상북도 영천시 대창면 구지리
4723040031,경상북도 영천시 대창면 사리리
4723040032,경상북도 영천시 대창면 대창리
4723040033,경상북도 영천시 대창면 강회리
4723040034,경상북도 영천시 대창면 병암리
